author,title,description
David Watts,Republican from Texas,"Accordng to his campaign biography, Watts is a businessman, author and minister who lives between Gilmer and Longview in East Texas."
Karen Handel,The PolitiFact scorecard,"Karen Handel is the former secretary of state of Georgia. She is also the former chair of the Fulton County Board of Commissioners. Handel, a Republican, lost the runoff for the GOP nomination for Georgia governor in 2010."
Debbie Wasserman Schultz,Democrat from Florida,Debbie Wasserman Schultz became the chairwoman of the Democratic National Committee in 2011 and resigned in July 2016. The Florida Democrat was elected to the U.S. House of Representatives in 2004 after serving in the state senate. She represents Congressional District 23 in Broward and Miami-Dade counties.
Alison Lundergan Grimes,Democrat from Kentucky,"Alison Lundergan Grimes is a Democrat challenging Senate Minority Leader Mitch McConnell, R-Ky., for his Senate seat in 2014. She currently serves as Kentucky's secretary of state."
Kenneth Block,,Kenneth Block is a software engineer and president of Simpatico Software Systems. He founded Rhode Island's Moderate Party and ran unsuccessfully for governor in 2010. He switched to the Republican Party in 2013 and made an unsuccessful run for Rhode Island Governor in 2014.
Democratic Party of Wisconsin,,
Federation for American Immigration Reform,,"The Federation for American Immigration Reform is an organization whose mission statement is to educate Americans about the costs of immigration, particularly illegal immigration."
Sarah Palin,Republican from Alaska,"Sarah Palin was the Republican nominee for vice president in 2008. She is also the former governor of Alaska and the author of  Going Rogue: An American Life. Sarah Palin's previous experience includes leading the Alaska Oil and Gas Conservation Commission and serving as the mayor of Wasilla, Alaska."
Chip Rogers,Republican from Georgia,State Senator Chip Rogers is a Republican from Woodstock.
Cokie Roberts,Journalist from Maryland,Cokie Roberts is a political journalist and commentator for ABC News. She also is a contributor to National Public Radio's Morning Edition. She previously was co-anchor of ABC's Sunday morning show This Week with Sam Donaldson & Cokie Roberts and also worked for PBS.
Christine Whitman,Republican from New Jersey,"Christine Todd Whitman was New Jersey's 50th governor, serving from 1994 to 2001. She left the governor's office to become administrator of the U.S. Environmental Protection Agency under then President George W. Bush. Today she is president of The Whitman Strategy Group."
Roy Blunt,Republican from Missouri,"Roy Blunt is the junior U.S. senator from Missouri. He was formerly a U.S. representative from Missouri’s 7th district, and served for six years as the Republican whip in that chamber."
AFL-CIO,,
Michele Bachmann,Republican from Minnesota,"Michele Bachmann, first elected to the U.S. Congress in 2006, represents the 6th Congressional District of Minnesota. She was reelected in 2008. Previously, she served in the Minnesota State Senate. Prior to that, she spent five years as a federal tax litigation attorney. Bachmann and her husband, Marcus, who have five children and have opened their home to 23 foster children, live in Stillwater, Minn., and own a mental health care practice."
Jim Whelan,,State Sen. Jim Whelan is a Democrat from Atlantic County.
Paul Vallas,,"Paul Vallas is the former superintendent of several school districts, including CEO of Chicago Public Schools. He ran for Lieutenant Governor with Pat Quinn in 2014."
Chet Edwards,Democrat from Texas,Chet Edwards is a former state senator from Waco who was initially elected to the U.S. House in 1990. He was among individuals described in press accounts as under consideration by then-U.S. Sen. Barack Obama to be the 2008 Democratic nominee for vice president. He lost the 2010 general election to Republican Bill Flores.
Rachel Maddow,The PolitiFact scorecard,Rachel Maddow is the host of MSNBC’s “The Rachel Maddow Show”. She formerly hosted a radio program of the same name on the defunct Air America network.
Ritch Workman,Republican from Florida,Ritch Workman is a Republican member of the Florida House of Representatives representing Disctrict 30 in the Melbourne area. He is a mortgage broker.
Kevin McCarthy,Republican from California,"Kevin McCarthy is a Republican Member of Congress representing a district in California. In the 112th Congress, he is serving as House Majority Whip, the third highest-ranking Republican in the chamber."
Chris Sununu,Republican from New Hampshire,"Chris Sununu is serving his third term on the New Hampshire Executive Council representing 20 percent of the state's population, which is about 265,000 people. The council votes on state contracts and appointments. He is CEO of Waterville Valley, one of the state's ski areas in the White Mountains. He is the son of former Governor John H. Sununu and brother to former U.S. Sen. John E. Sununu."
Jackie Dingfelder,,State Sen. Jackie Dingfelder is a Portland Democrat representing District 23.
Bill Hammond,Republican from Texas,"Bill Hammond, a former Texas House member, also previously served as chairman of the Texas Workforce Commission."
John Kerry,Democrat from Massachusetts,John Kerry is the secretary of state. He previously was a senator from Massachusetts and the Democratic Party's nominee for president in 2004.
Moms Demand Action for Gun Sense In America,,
James Inhofe,Republican from Oklahoma,"James Inhofe is a U.S. Senator representing Oklahoma. He was elected to the Senate in 1994. Prior to that, he was a Congressman from 1987 to 1994. He is the senior Republican member of the Senate Environment and Public Works Committee."
Paula Dockery,Republican from Florida,"Paula Dockery, a Republican from Lakeland, is a member of Florida Senate. She campaigned to be Florida governor in 2010 but withdrew from the race in May 2010 citing lack of resources."
Impact America Action,,
Richard Corcoran,Republican from Florida,Richard Corcoran is a state representative serving District 45. He was elected to the House in 2010. He is the Florida House Speaker for the 2017 session.
Donna Shalala,None from Florida,U.S. Rep. Donna E. Shalala represents the 27th district in south Florida and was elected in 2018. She was the president of the University of Miami 2001-2015 and then served as president and CEO of the Clinton Foundation. Shalala served as the U.S. Secretary of Health and Human Services 1993-2001.
Mark Kirk,Republican from Illinois,"Mark Kirk is a U.S. senator from Illinois, having defeated Democratic State Treasurer Alexi Giannoulias for the seat formerly occupied by President Barack Obama in 2010. Kirk was formerly a U.S. congressman from Illinois’ 10th district."
Conservative Stories,,Conservative Stories is a rightwing website.
Ward Armstrong,Democrat from Virginia,"Ward Armstrong, D-Henry County,  was a  a member of the Virginia House of Delegates from 1992 to 2012, serving the final five years as minority leader. He served on the Courts of Justice, Finance, and Rules committees. In 2011, House Republicans merged Armstrong's district with that of another incumbent, Republican Charles Poindexter. Armstrong was defeated by Poindexter that fall. ,"
Michael Doherty,,"Michael Doherty is a Republican state Senator representing parts of Warren, Somerset and Hunterdon counties. He previously served in the state Assembly from 2002 to 2009."
Tom Cotton,Republican from Arkansas,"Tom Cotton, a Republican, was elected to the House of Representatives in 2012 from a district in Arkansas."
Wisconsin Humane Society,Organization from Wisconsin,The 130-year-old Wisconsin Humane Society is one of the largest and oldest humane societies in the country. The mission of the Wisconsin Humane Society is to build a community where people value animals and treat them with respect and kindness.
Wayne Powell,Democrat from Virginia,"Wayne Powell was the 2012 Democratic nominee for Virginia's 7th Congressional District seat held by House Majority Leader Eric Cantor, a Republican. Powell served in the U.S. Army for 30 years, 5 years of active duty and 25 years in the Active Reserves. He was called back into active duty after September 11, 2001, to command a specialized Army intelligence unit. He was awarded the Legion of Merit when he retired as a colonel in 2002. Powell graduated from the University of Richmond in 1972, and received a master’s degree from the University of Wisconsin, Madison in 1973 and a law degree from T.C. Williams School of Law at the University of Richmond in 1980. Powell served as staff clerk to the Supreme Court of Appeals of Virginia, worked as an assistant state attorney general and served as deputy commissioner of the Virginia Worker’s Compensation Commission for six years. He entered private practice in 1991, and founded his present firm of Powell & Parrish in 1999."
